clubid,name,division,based
4701,Nitra,Slovak First Division,Slovakia (First Division)
4702,Nizhniy Novgorod,Russian First Division,Russia (First Division)
4703,NJS,Finnish Second Division Group A,Finland (Second Division Group A)
4704,NMG Zhongyou,Chinese National First Division,China (First Division)
4705,Noah,Armenian High League,Armenia (High League)
4706,Noarlunga United,South Australia - State League 2,Australia (SA - State League 2)
4707,Noble Park Utd,Victorian State League 4 - South,Australia (Vic State League 4 South)
4708,Nocerina,Italian Serie D Grp. H,Italy (Serie D Grp. H)
4709,Nogoom,Egyptian Second Division - Group 2,Egypt (Second Division - Group 2)
4710,Noia,Spanish Preferente AutonÃ³mica Galicia Norte,Spain (Reg. Pref. Galicia Norte)
4711,Nomads Utd,New Zealand Mainland Premier League,New Zealand (Mainland Premier)
4712,Nong Bua Pitchaya,Thai League Two,Thailand (Thai League 2)
4713,Noordwijk,Dutch Tweede Divisie,Holland (Dutch Tweede Divisie)
4714,Noosa Lions,Sunshine Coast Premier League,Australia (SC Premier League)
4715,NoPS,Finnish Third Division,Finland (Finnish Third Division)
4716,Nopsa,Finnish Third Division,Finland (Finnish Third Division)
4717,Norberto de la Riestra,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
4718,Norderstedt,German Regional Division North,Germany (Regional Div. North)
4719,Nordhausen,German Regional Division Northeast,Germany (Regional Div. Northeast)
4720,Nordia,Israeli A League South Division,Israel (A League South)
4721,Noroeste,Brazilian National Lower Division,Brazil (Lower Division)
4722,Norrby IF,Swedish First Division Elite,Sweden (First Division Elite)
4723,Norrvalla FF,Finnish Lower Division,Finland (Lower Division)
4724,Nortel,Northern Irish Amateur Division 2B,N.Ireland (Amateur Division 2B)
4725,North Carolina,USSL D3 - South Atlantic Division,U.S.A. (Eastern Conference)
4726,North District,Hong Kong First Division,Hong Kong (China PR) (First Division)
4727,North End,Scottish Juniors East Region Superleague,Scotland (East Superleague)
4728,North End Utd,Irish Wexford Football League Premier Division,Ireland (Wexford Premier Division)
4729,North Geelong Warriors,National Premier Leagues - Victoria 2,Australia (NPL - Victoria 2)
4730,North Mississauga,League1 Ontario,Canada (League1 Ontario)
4731,North Pine Utd,Brisbane Premier League,Australia (BPL)
4732,North Shore Mariners,National Premier Leagues - NSW,Australia (NPL NSW)
4733,North Shore Utd,New Zealand NRFL Premier Division,New Zealand (NRFL Premier)
4734,North Sunshine Eagles,National Premier Leagues - Victoria 3,Australia (NPL - Victoria 3)
4735,North Texas,United States Soccer League Division Two,U.S.A. (USSL Division Two)
4736,North Village Rams,Bermudan Premier Division,Bermuda (Premier Division)
4737,North Wellington,New Zealand Central League,New Zealand (Central League)
4738,Northampton,Sky Bet League Two,England (Sky Bet League Two)
4739,Northcote City,National Premier Leagues - Victoria 2,Australia (NPL - Victoria 2)
4740,Northern Demons,South Australia - State League 2,Australia (SA - State League 2)
4741,Northern Falcons SC,Victorian State League 4 - North,Australia (Vic State League 4 North)
4742,Northern Tigers,National Premier Leagues - NSW 2,Australia (NPL 2 NSW)
4743,Norwich,Sky Bet Championship,England (Sky Bet Championship)
4744,Nosta,Russian Second Division - Ural/Volga,Russia (Second Div. - Ural/Volga)
4745,NoStars,Finnish Lower Division,Finland (Lower Division)
4746,Nosteria,Croatian Regional League - Vukovar (16),Croatia (ZNL - Vukovar)
4747,Notaresco,Italian Serie D Grp. F,Italy (Serie D Grp. F)
4748,Notodden,Norwegian First Division,Norway (First Division)
4749,Nottm Forest,Sky Bet Championship,England (Sky Bet Championship)
4750,Notts Co,Vanarama National League,England (Vanarama National)
4751,Nova Mutum,Brazilian National Lower Division,Brazil (Lower Division)
4752,Nova Ves pod Plesi,Czech Lower Division,Czech Republic (Lower Division)
4753,Novara,Italian Serie C/A,Italy (Serie C/A)
4754,Novazzano,Swiss Second League Interregio Gr 4,Switzerland (Second League Inter Gr 4)
4755,Nove Mesto,Slovak Lower Division,Slovakia (Lower Division)
4756,Nove Sady,Czech Fourth Division E,Czech Republic (Fourth Division E)
4757,Novelda,Spanish Third Division Group 6,Spain (Third Division Group 6)
4758,Novi Pazar,Serbian First League,Serbia (First League)
4759,Novigrad,Croatian Third League West,Croatia (Third League West)
4760,Novo Hamburgo,Brazilian National Lower Division,Brazil (Lower Division)
4761,Novosibirsk,Russian Second Division - East,Russia (Second Division - East)
4762,Novy Bor,Czech Lower Division,Czech Republic (Lower Division)
4763,Novy Jicin,Czech Fourth Division F,Czech Republic (Fourth Division F)
4764,NS Betaria,Malaysian Lower Division,Malaysia (Lower Division)
4765,Nuenen,Dutch Hoofdklasse Zondag B,Holland (Zondag B)
4766,Nueva Chicago,Argentine Second Division,Argentina (Second Division)
4767,Nuevo Chimalhuacán,Mexican Premier Division Serie B,Mexico (Premier League Serie B)
4768,Numantia,Spanish Second Division,Spain (Second Division)
4769,Numantia B,Spanish Third Division Group 8,Spain (Third Division Group 8)
4770,Nunawading City,National Premier Leagues - Victoria 3,Australia (NPL - Victoria 3)
4771,Nuneaton Boro,English Southern League Premier Central,England (Southern Premier Central)
4772,Nuova Santegidiese,Italian Promozione Abruzzo Grp.A,Italy (Promoz. Abruzzo A)
4773,NuPS,Finnish Third Division,Finland (Finnish Third Division)
4774,Nur,Croatian Regional League - Zagreb (21),Croatia (ZNL - Zagreb)
4775,NWU,SAFA North West Province Division 2,South Africa (North West Division 2)
4776,NY Cosmos,NPSL Northeast Region,U.S.A. (Northeast Region)
4777,NY Cosmos B,NPSL Northeast Region,U.S.A. (Northeast Region)
4778,Nybergsund,Norwegian Third Division Group 5,Norway (Third Division Group 5)
4779,NYCFC,Major League Soccer,U.S.A. (MLS)
4780,Nymburk,Czech Fourth Division C,Czech Republic (Fourth Division C)
4781,NYRB II,USSL Division One Eastern Conference,U.S.A. (Eastern Conference)
4782,Nyva Terebovlya,Ukrainian Reg Div - Ternopils'ka oblast - D1,Ukraine (URD - Ternopils'ka - D1)
4783,Nyva Vinnytsya,Ukrainian Second League - Group A,Ukraine (Second League - Group A)
4784,O'Connor Knights,National Premier Leagues - ACT 2,Australia (NPL 2 ACT)
4785,O'Higgins,Chilean First Division,Chile (First Division)
4786,O. Xátiva,Spanish Third Division Group 6,Spain (Third Division Group 6)
4787,Oakland Roots,Lower Leagues,U.S.A. (Lower Leagues)
4788,Oakleigh Cannons,National Premier Leagues - Victoria,Australia (NPL Victoria)
4789,Oakville Blue Devils,League1 Ontario,Canada (League1 Ontario)
4790,OB,3F Superliga,Denmark (3F Superliga)
4791,Ober-Roden,German Lower Division,Germany (German Lower Division)
4792,Oberachern,German Div. Baden-WÃ¼rttemberg,Germany (Baden-WÃ¼rttemberg)
4793,Oberhausen,German Regional Division West,Germany (Regional Div. West)
4794,Oberlausitz,German Div. North East - South,Germany (North East-South)
4795,Oberweikertshofen,German Lower Division,Germany (German Lower Division)
4796,Obilic (NK),Serbian Lower League,Serbia (Lower League)
4797,Obolon-Brewer,Ukrainian First League,Ukraine (First League)
4798,Obolon-Brewer-2,Ukrainian Second League - Group A,Ukraine (Second League - Group A)
4799,Oborishte,Bulgarian Third League South-West,Bulgaria (Third SW League)
4800,Obres Sv. Ilija,Croatian Regional League - Varazdin (5),Croatia (ZNL - Varazdin)
4801,OC Khouribga,Moroccan Premier Division,Morocco (Premier Division)
4802,OC Safi,Moroccan Premier Division,Morocco (Premier Division)
4803,Odd,Norwegian Premier Division,Norway (Premier Division)
4804,Odder,Denmark's Series Group 3,Denmark (Denmark's Series Group 3)
4805,ODEK Orzhiv,Ukrainian Amateur League - Group 1,Ukraine (Ukrainian Amateur League )
4806,Odintsovo,Russian Lower Division,Russia (Lower Division)
4807,Odisha,Unknown,India
4808,Odorheiu Secuiesc,Romanian Third League Group 5,Romania (Liga III Seria 5)
4809,Odra Opole,Polish First Division,Poland (First Division)
4810,Odranci,Slovenian Third League East,Slovenia (Third League East)
4811,Odys. Nydriou,Greek Amateur Division - Preveza,Greece (GAD - Preveza)
4812,Odzaci,Serbian Lower League,Serbia (Lower League)
4813,Oerlikon/Polizei ZH,Swiss Lower Division,Switzerland (Lower Division)
4814,OES,Brazilian National Second Division,Brazil (Second Division)
4815,OF Ierapetras,Greek Football League,Greece (Football League)
4816,OFA,Greek Amateur Division - Irakleio,Greece (GAD - Irakleio)
4817,OFAM,Greek Amateur Division - Kerkyra,Greece (GAD - Kerkyra)
4818,OFC,Dutch Derde Divisie Zondag,Holland (Derde Divisie Zondag)
4819,Offenbach,German Regional Division Southwest,Germany (Regional Div. Southwest)
4820,OFI,Greek Super League 1,Greece (Super League)
4821,OFK Beograd,Serbian Second League Belgrade,Serbia (Second League Belgrade)
4822,OFK Nis,Serbian Zone League,Serbia (Zone League)
4823,OFK Sindjelic,Serbian Second League East,Serbia (Second League East)
4824,OFK Vrsac,Serbian Second League Vojvodina,Serbia (Second League Vojvodina)
4825,Ofspor,Turkish 3. League Group 2,Turkey (3. League Group 2)
4826,OGC Nice,French Reserves Group 1,France (Ligue 1 Conforama)
4827,OHL,Belgian Pro League B,Belgium (Pro League B)
4828,Ohod,Saudi First Division,Saudi Arabia (First Division)
4829,Oikonomos,Greek Regional Division Group 3,Greece (Regional Division 3)
4830,OJC Rosmalen,Dutch Hoofdklasse Zondag B,Holland (Zondag B)
4831,Okean Kerch,Crimean Premier League,Crimea (Crimean Premier League)
4832,Oklahoma City,USSL Division One Western Conference,U.S.A. (Western Conference)
4833,Okwahu Utd,Ghanaian Lower Division,Ghana (Lower Division)
4834,OL,French National 2 - D,France (Ligue 1 Conforama)
4835,Olancho FC,Liga de Ascenso de Honduras,Honduras (Liga de Ascenso)
4836,Olbia,Italian Serie C/A,Italy (Serie C/A)
4837,Old Camberwell SC,Victorian State League 4 - East,Australia (Vic State League 4 East)
4838,Old Ivanhoe SC,Victorian State League 5 - East,Australia (Vic State League 5 East)
4839,Old Road (ATG),Antigua and Barbuda Premier Division,Antigua & Barbuda (Premier Division)
4840,Old Scotch,Victorian State League 2 South-East,Australia (Vic SL 2 SE)
4841,Old Xaverians,Victorian State League 4 - North,Australia (Vic State League 4 North)
4842,Oldenburger SV,German Div. Schleswig-Holstein,Germany (Schleswig-Holstein)
4843,Oldham,Sky Bet League Two,England (Sky Bet League Two)
4844,Olexandriya,Ukrainian Premier League,Ukraine (Premier League)
4845,Olginatese,Italian Eccellenza Lombardia Grp.B,Italy (Eccellenza Lombardia B)
4846,Olhanense,Portugal Championship - Group D,Portugal (PT Championship D)
4847,Olimp Khimki,Russian Second Division - West,Russia (Second Division - West)
4848,Olimpia,Paraguayan First Division,Paraguay (First Division)
4849,Olimpia (HON),Liga Nacional de Honduras,Honduras (Liga Nacional)
4850,Olimpia de Minas,Uruguayan Lavalleja League,Uruguay (Lavalleja League)
4851,Olimpia Occidental,Liga de Ascenso de Honduras,Honduras (Liga de Ascenso)
4852,Olimpija,Slovenian First League,Slovenia (First League)
4853,Olimpik D,Ukrainian Premier League,Ukraine (Premier League)
4854,Olimpiya Savyntsi,Ukrainian Reg Div - Poltavs'ka oblast - D1,Ukraine (URD - Poltavs'ka - D1)
4855,Olimpo,Argentine Torneo Federal A,Argentina (Interior Zone)
4856,Oliveira de Hospital,Portugal Championship - Group C,Portugal (PT Championship C)
4857,Oliveirense,Portuguese Second League,Portugal (Second League)
4858,Olivenza,Spanish Third Division Group 14,Spain (Third Division Group 14)
4859,Olmaliq,Uzbekistan Superleague,Uzbekistan (Superleague)
4860,Olmedo,Ecuadorian Serie A,Ecuador (Serie A)
4861,Olomouc - Holice,Czech Fourth Division E,Czech Republic (Fourth Division E)
4862,Olot,Spanish Second Division B3,Spain (Second Division B3)
4863,OLS,Finnish Second Division Group C,Finland (Second Division Group C)
4864,Olten,Swiss Second League Interregio Gr 5,Switzerland (Second League Inter Gr 5)
4865,Olymp. Abelias,Greek Amateur Division - Larisa,Greece (GAD - Larisa)
4866,Olymp. Ag. Stefanou,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
4867,Olymp. Analipsis,Greek Amateur Division - Messinia,Greece (GAD - Messinia)
4868,Olymp. Karousadon,Greek Amateur Division - Kerkyra,Greece (GAD - Kerkyra)
4869,Olymp. Kyminon,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
4870,Olymp. Leonidiou,Greek Amateur Division - Arkadia,Greece (GAD - Arkadia)
4871,Olymp. Liosion,Greek Amateur Division - Athens,Greece (GAD - Athens)
4872,Olymp. Nicosia,Cypriot First Division,Cyprus (First Division)
4873,Olymp. Rodopolis,Greek Amateur Division - Serres,Greece (GAD - Serres)
4874,Olymp. Savalion,Greek Amateur Division - Ileia,Greece (GAD - Ileia)
4875,Olymp. Volou,Greek Football League,Greece (Football League)
4876,Olymp. Votanikou,Greek Amateur Division - Ipeiros,Greece (GAD - Ipeiros)
4877,Olymp. Zacharos,Greek Regional Division Group 7,Greece (Regional Division 7)
4878,Olympia,Czech Lower Division,Czech Republic (Lower Division)
4879,Olympia HK,Czech Lower Division,Czech Republic (Lower Division)
4880,Olympia Wijgmaal,Belgian Second Amateur Division B,Belgium (Second Division B)
4881,Olympiakos,Greek Super League 1,Greece (Super League)
4882,Olympic Club Charleroi,Belgian First Amateur Division,Belgium (First Division)
4883,Olympic FC,National Premier Leagues - Queensland,Australia (NPL Queensland)
4884,Olympic Kingsway,Western Australia State League Division 2,Australia (WA State League Div 2)
4885,Olympique Grande-Synthe,French National 3 - Hauts de France,France (Nat 3 - Hauts France)
4886,Olympique Marcquois,French National 3 - Hauts de France,France (Nat 3 - Hauts France)
4887,Olympique Saint-Quentin,French National 2 - A,France (National 2 - A)
4888,Olympique Saumur FC,French National 3 - Pays de la Loire,France (Nat 3 - Pays de la Loire)
4889,Olympos Agiasou,Greek Amateur Division - Lesvos,Greece (GAD - Lesvos)
4890,Olympos Apsalou,Greek Amateur Division - Pella,Greece (GAD - Pella)
4891,Olympos Kerkyras,Greek Amateur Division - Kerkyra,Greece (GAD - Kerkyra)
4892,Olympos Vrontous,Greek Amateur Division - Pieria,Greece (GAD - Pieria)
4893,OM,French National 2 - D,France (Ligue 1 Conforama)
4894,Oman,Omani Professional League,Oman (Pro League)
4895,Omiros Neochoriou,Greek Amateur Division - Aitoloakarnania,Greece (GAD - Aitoloakarnania)
4896,Omis,Croatian Regional League - Split (17),Croatia (ZNL - Split)
4897,Omladinac,Serbian Second League Vojvodina,Serbia (Second League Vojvodina)
4898,Omladinac Vranjic,Croatian Regional League - Split (17),Croatia (ZNL - Split)
4899,Omonoia,Cypriot First Division,Cyprus (First Division)
4900,Omonoia Aradippou,Cypriot Second Division,Cyprus (Second Division)
4901,Omonoia Kalamatas,Greek Amateur Division - Messinia,Greece (GAD - Messinia)
4902,Omonoia Psevda,Cypriot Second Division,Cyprus (Second Division)
4903,Omonoia Sindou,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
4904,Once Caldas,Colombian First Division,Colombia (First Division)
4905,Once Corazones,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
4906,Once Municipal,El Salvador Primera DivisiÃ³n,El Salvador (Primera DivisiÃ³n)
4907,Onehunga Sports,New Zealand NRFL Premier Division,New Zealand (NRFL Premier)
4908,ONGC,Indian Lower Division,India (Indian Lower Division)
4909,Onisilos,Cypriot Second Division,Cyprus (Second Division)
4910,Oostende,Belgian Pro League A,Belgium (Pro League A)
4911,Oostnieuwkerke,Belgian Third Amateur Division A (Fla),Belgium (Third Division A)
4912,Opatija,Croatian Third League West,Croatia (Third League West)
4913,Opava,Czech First Division,Czech Republic (First Division)
4914,OPE,Brazilian National Second Division,Brazil (Second Division)
4915,Operário (MS),Brazilian National Fourth Division,Brazil (Fourth Division)
4916,Operário Lagoa,Portuguese Azores League,Portugal (Azores League)
4917,Operário VG,Brazilian National Lower Division,Brazil (Lower Division)
4918,Oplotnica,Slovenian Lower League,Slovenia (Lower League)
4919,Opountios,Greek Amateur Division - Fthiotida,Greece (GAD - Fthiotida)
4920,Oppsal,Norwegian Second Division Group 2,Norway (Second Division Group 2)
4921,Oppuurs,Antwerp Provincial Division,Belgium (Antwerp Provincial)
4922,Oqzhetpes,Kazakhstan Premier League,Kazakhstan (Kazakhstan Premier League)
4923,Orange County,USSL D3 - Southwest Division,U.S.A. (Southwest Division)
4924,Orange County FC,NPSL West Region,U.S.A. (West Region)
4925,Orchomenos,Greek Amateur Division - Voiotia,Greece (GAD - Voiotia)
4926,Ordabasy,Kazakhstan Premier League,Kazakhstan (Kazakhstan Premier League)
4927,Ordino,Andorran First Division,Andorra (First Division)
4928,Orenburg,Russian Premier League,Russia (Premier League)
4929,Orense S.C.,Ecuadorian Serie A,Ecuador (Serie A)
4930,Orfeas Choristis,Greek Amateur Division - Drama,Greece (GAD - Drama)
